AbsTime Ts Tc Tw
1470007904.230423 22.20921107110537 -0.7422233313394504 0.0
1470007964.7164717 22.206378798078262 -0.7416896381508663 0.0
1470008025.2025204 22.20354870648903 -0.7411537920147114 0.0
1470008085.6885688 22.2007207879477 -0.7406158011542802 0.0
1470008146.1746175 22.197895033851395 -0.7400756739002832 0.0
1470008206.660666 22.19507143568819 -0.7395334187046411 0.0
1470008267.1467147 22.192249984611834 -0.7389890441223718 0.0
1470008327.6327634 22.18943067185826 -0.7384425588254327 0.0
1470008388.1188118 22.186613488488184 -0.7378939715952425 0.0
1470008448.6048605 22.183798425354475 -0.737343291315035 0.0
1470008509.090909 22.180985473407247 -0.7367905269838875 0.0
1470008569.5769577 22.178174623266734 -0.7362356876982148 0.0
1470008630.0630064 22.175365865641812 -0.7356787826658485 0.0
